id;x;y;z;time;;;
0x6733;1885;993;0;2019-05-16 10:25:04.347;25.04,3;4,347;0,186
0x6733;2134;959;0;2019-05-16 10:25:04.533;25.04,5;4,533;0,175
0x6733;1882;922;0;2019-05-16 10:25:04.708;25.04,7;4,708;0,408
0x6733;2088;983;0;2019-05-16 10:25:05.116;25.05,1;5,116;0,148
0x6733;2105;969;0;2019-05-16 10:25:05.264;25.05,3;5,264;0,182
0x6733;1893;977;0;2019-05-16 10:25:05.446;25.05,4;5,446;0,369
0x6733;2125;965;0;2019-05-16 10:25:05.815;25.05,8;5,815;0,187
0x6733;2140;943;0;2019-05-16 10:25:06.002;25.06,0;6,002;0,173
0x6733;2107;960;0;2019-05-16 10:25:06.175;25.06,2;6,175;0,209
0x6733;2108;959;0;2019-05-16 10:25:06.384;25.06,4;6,384;0,175
0x6733;2122;904;0;2019-05-16 10:25:06.559;25.06,6;6,559;0,192
0x6733;1883;983;0;2019-05-16 10:25:06.751;25.06,8;6,751;0,161
0x6733;2122;956;0;2019-05-16 10:25:06.912;25.06,9;6,912;0,194
0x6733;1944;957;0;2019-05-16 10:25:07.106;25.07,1;7,106;0,179
0x6733;1918;973;0;2019-05-16 10:25:07.285;25.07,3;7,285;0,18
0x6733;1911;925;0;2019-05-16 10:25:07.465;25.07,5;7,465;0,177
0x6733;1908;942;0;2019-05-16 10:25:07.642;25.07,6;7,642;0,367
0x6733;1903;966;0;2019-05-16 10:25:08.009;25.08,0;8,009;0,18
0x6733;2100;946;0;2019-05-16 10:25:08.189;25.08,2;8,189;0,185
0x6733;1897;944;0;2019-05-16 10:25:08.374;25.08,4;8,374;0,191
0x6733;1919;958;0;2019-05-16 10:25:08.565;25.08,6;8,565;0,363
0x6733;1881;959;0;2019-05-16 10:25:08.928;25.08,9;8,928;0,178
0x6733;1905;974;0;2019-05-16 10:25:09.106;25.09,1;9,106;0,18
0x6733;1895;968;0;2019-05-16 10:25:09.286;25.09,3;9,286;0,188
0x6733;2092;933;0;2019-05-16 10:25:09.474;25.09,5;9,474;0,362
0x6733;1925;998;0;2019-05-16 10:25:09.836;25.09,8;9,836;0,181
0x6733;2121;949;0;2019-05-16 10:25:10.017;25.10,0;10,017;0,187
0x6733;2108;940;0;2019-05-16 10:25:10.204;25.10,2;10,204;0,356
0x6733;1893;1010;0;2019-05-16 10:25:10.560;25.10,6;10,56;0,376
0x6733;2131;940;0;2019-05-16 10:25:10.936;25.10,9;10,936;0,189
0x6733;2105;933;0;2019-05-16 10:25:11.125;25.11,1;11,125;0,165
0x6733;1912;955;0;2019-05-16 10:25:11.290;25.11,3;11,29;0,373
0x6733;1935;998;0;2019-05-16 10:25:11.663;25.11,7;11,663;0,729
0x6733;1935;952;0;2019-05-16 10:25:12.392;25.12,4;12,392;0,18
0x6733;2108;961;0;2019-05-16 10:25:12.572;25.12,6;12,572;0,364
0x6733;2097;956;0;2019-05-16 10:25:12.936;25.12,9;12,936;0,372
0x6733;1908;964;0;2019-05-16 10:25:13.308;25.13,3;13,308;0,18
0x6733;1916;957;0;2019-05-16 10:25:13.488;25.13,5;13,488;0,186
0x6733;2131;956;0;2019-05-16 10:25:13.674;25.13,7;13,674;0,368
0x6733;1929;981;0;2019-05-16 10:25:14.042;25.14,0;14,042;0,186
0x6733;1947;960;0;2019-05-16 10:25:14.228;25.14,2;14,228;0,18
0x6733;1912;965;0;2019-05-16 10:25:14.408;25.14,4;14,408;0,182
0x6733;2125;960;0;2019-05-16 10:25:14.590;25.14,6;14,59;0,189
0x6733;1973;949;0;2019-05-16 10:25:14.779;25.14,8;14,779;0,177
0x6733;2009;942;0;2019-05-16 10:25:14.956;25.15,0;14,956;0,367
0x6733;2100;916;0;2019-05-16 10:25:15.323;25.15,3;15,323;0,185
0x6733;2116;950;0;2019-05-16 10:25:15.508;25.15,5;15,508;0,182
0x6733;1900;976;0;2019-05-16 10:25:15.690;25.15,7;15,69;0,183
0x6733;2136;972;0;2019-05-16 10:25:15.873;25.15,9;15,873;0,176
0x6733;1943;906;0;2019-05-16 10:25:16.049;25.16,0;16,049;0,189
0x6733;1917;962;0;2019-05-16 10:25:16.238;25.16,2;16,238;0,362
0x6733;1952;918;0;2019-05-16 10:25:16.600;25.16,6;16,6;0,183
0x6733;2107;924;0;2019-05-16 10:25:16.783;25.16,8;16,783;0,182
0x6733;1933;892;0;2019-05-16 10:25:16.965;25.17,0;16,965;0,182
0x6733;1941;954;0;2019-05-16 10:25:17.147;25.17,1;17,147;0,179
0x6733;1933;971;0;2019-05-16 10:25:17.326;25.17,3;17,326;0,188
0x6733;1922;963;0;2019-05-16 10:25:17.514;25.17,5;17,514;0,183
0x6733;2124;945;0;2019-05-16 10:25:17.697;25.17,7;17,697;0,185
0x6733;2118;942;0;2019-05-16 10:25:17.882;25.17,9;17,882;0,178
0x6733;2025;922;0;2019-05-16 10:25:18.060;25.18,1;18,06;0,368
0x6733;1919;920;0;2019-05-16 10:25:18.428;25.18,4;18,428;0,189
0x6733;1968;951;0;2019-05-16 10:25:18.617;25.18,6;18,617;0,177
0x6733;1668;1091;0;2019-05-16 10:25:18.794;25.18,8;18,794;0,186
0x6733;1976;1136;0;2019-05-16 10:25:18.980;25.19,0;18,98;0,181
0x6733;1631;1096;0;2019-05-16 10:25:19.161;25.19,2;19,161;0,188
0x6733;1695;1064;0;2019-05-16 10:25:19.349;25.19,3;19,349;0,183
0x6733;1687;1113;0;2019-05-16 10:25:19.532;25.19,5;19,532;0,18
0x6733;1827;945;0;2019-05-16 10:25:19.712;25.19,7;19,712;0,183
0x6733;1793;1062;0;2019-05-16 10:25:19.895;25.19,9;19,895;0,184
0x6733;1934;1004;0;2019-05-16 10:25:20.079;25.20,1;20,079;0,363
0x6733;2106;986;0;2019-05-16 10:25:20.442;25.20,4;20,442;0,186
0x6733;1591;1150;0;2019-05-16 10:25:20.628;25.20,6;20,628;0,368
0x6733;1723;1055;0;2019-05-16 10:25:20.996;25.21,0;20,996;0,182
0x6733;2053;1036;0;2019-05-16 10:25:21.178;25.21,2;21,178;0,73
0x6733;1655;1106;0;2019-05-16 10:25:21.908;25.21,9;21,908;0,188
0x6733;1668;1103;0;2019-05-16 10:25:22.096;25.22,1;22,096;0,181
0x6733;1973;1121;0;2019-05-16 10:25:22.277;25.22,3;22,277;0,19
0x6733;1730;1051;0;2019-05-16 10:25:22.467;25.22,5;22,467;0,36
0x6733;2007;1077;0;2019-05-16 10:25:22.827;25.22,8;22,827;0,176
0x6733;1702;1064;0;2019-05-16 10:25:23.003;25.23,0;23,003;0,189
0x6733;1983;1076;0;2019-05-16 10:25:23.192;25.23,2;23,192;0,55
0x6733;1674;1088;0;2019-05-16 10:25:23.742;25.23,7;23,742;0,363
0x6733;1738;1058;0;2019-05-16 10:25:24.105;25.24,1;24,105;0,364
0x6733;2078;1032;0;2019-05-16 10:25:24.469;25.24,5;24,469;0,184
0x6733;1832;1030;0;2019-05-16 10:25:24.653;25.24,7;24,653;0,184
0x6733;1844;1026;0;2019-05-16 10:25:24.837;25.24,8;24,837;0,365
0x6733;1824;975;0;2019-05-16 10:25:25.202;25.25,2;25,202;0,191
0x6733;2070;988;0;2019-05-16 10:25:25.393;25.25,4;25,393;0,178
0x6733;1819;976;0;2019-05-16 10:25:25.571;25.25,6;25,571;0,365
0x6733;1881;990;0;2019-05-16 10:25:25.936;25.25,9;25,936;0,192
0x6733;1854;983;0;2019-05-16 10:25:26.128;25.26,1;26,128;0,36
0x6733;1829;1012;0;2019-05-16 10:25:26.488;25.26,5;26,488;0,18
0x6733;1829;975;0;2019-05-16 10:25:26.668;25.26,7;26,668;0,177
0x6733;2097;1010;0;2019-05-16 10:25:26.845;25.26,8;26,845;0,184
0x6733;2069;973;0;2019-05-16 10:25:27.029;25.27,0;27,029;0,186
0x6733;1819;979;0;2019-05-16 10:25:27.215;25.27,2;27,215;0,174
0x6733;1770;966;0;2019-05-16 10:25:27.389;25.27,4;27,389;0,365
0x6733;2074;981;0;2019-05-16 10:25:27.754;25.27,8;27,754;0,19
0x6733;1784;985;0;2019-05-16 10:25:27.944;25.27,9;27,944;0,185
0x6733;1818;1038;0;2019-05-16 10:25:28.129;25.28,1;28,129;0,188
0x6733;2031;1010;0;2019-05-16 10:25:28.317;25.28,3;28,317;0,172
0x6733;2062;1024;0;2019-05-16 10:25:28.489;25.28,5;28,489;0,197
0x6733;1746;1062;0;2019-05-16 10:25:28.686;25.28,7;28,686;0,167
0x6733;1804;987;0;2019-05-16 10:25:28.853;25.28,9;28,853;0,183
0x6733;1791;1000;0;2019-05-16 10:25:29.036;25.29,0;29,036;0,187
0x6733;2043;1042;0;2019-05-16 10:25:29.223;25.29,2;29,223;0,185
0x6733;2039;1002;0;2019-05-16 10:25:29.408;25.29,4;29,408;0,362
0x6733;1823;1027;0;2019-05-16 10:25:29.770;25.29,8;29,77;0,184
0x6733;2045;1017;0;2019-05-16 10:25:29.954;25.30,0;29,954;0,186
0x6733;1805;955;0;2019-05-16 10:25:30.140;25.30,1;30,14;0,185
0x6733;1802;1009;0;2019-05-16 10:25:30.325;25.30,3;30,325;0,366
0x6733;1826;1001;0;2019-05-16 10:25:30.691;25.30,7;30,691;0,378
0x6733;1789;1011;0;2019-05-16 10:25:31.069;25.31,1;31,069;0,365
0x6733;1691;1075;0;2019-05-16 10:25:31.434;25.31,4;31,434;0,362
0x6733;2062;993;0;2019-05-16 10:25:31.796;25.31,8;31,796;0,552
0x6733;1896;947;0;2019-05-16 10:25:32.348;25.32,3;32,348;0,375
0x6733;2094;936;0;2019-05-16 10:25:32.723;25.32,7;32,723;0,174
0x6733;1874;982;0;2019-05-16 10:25:32.897;25.32,9;32,897;0,182
0x6733;2111;962;0;2019-05-16 10:25:33.079;25.33,1;33,079;0,188
0x6733;2106;962;0;2019-05-16 10:25:33.267;25.33,3;33,267;0,179
0x6733;1847;982;0;2019-05-16 10:25:33.446;25.33,4;33,446;0,183
0x6733;2110;985;0;2019-05-16 10:25:33.629;25.33,6;33,629;0,188
0x6733;1905;941;0;2019-05-16 10:25:33.817;25.33,8;33,817;0,185
0x6733;2114;963;0;2019-05-16 10:25:34.002;25.34,0;34,002;0,176
0x6733;1996;1065;0;2019-05-16 10:25:34.178;25.34,2;34,178;0,178
0x6733;1876;918;0;2019-05-16 10:25:34.356;25.34,4;34,356;0,372
0x6733;2056;1031;0;2019-05-16 10:25:34.728;25.34,7;34,728;0,182
0x6733;2094;950;0;2019-05-16 10:25:34.910;25.34,9;34,91;0,183
0x6733;1937;937;0;2019-05-16 10:25:35.093;25.35,1;35,093;0,185
0x6733;1793;1091;0;2019-05-16 10:25:35.278;25.35,3;35,278;0,177
0x6733;2019;1173;0;2019-05-16 10:25:35.455;25.35,5;35,455;0,186
0x6733;1941;1140;0;2019-05-16 10:25:35.641;25.35,6;35,641;0,181
0x6733;1994;945;0;2019-05-16 10:25:35.822;25.35,8;35,822;0,192
0x6733;1994;858;0;2019-05-16 10:25:36.014;25.36,0;36,014;0,17
0x6733;2310;946;0;2019-05-16 10:25:36.184;25.36,2;36,184;0,373
0x6733;2458;948;0;2019-05-16 10:25:36.557;25.36,6;36,557;0,369
0x6733;2592;768;0;2019-05-16 10:25:36.926;25.36,9;36,926;0,176
0x6733;2537;821;0;2019-05-16 10:25:37.102;25.37,1;37,102;0,186
0x6733;2579;832;0;2019-05-16 10:25:37.288;25.37,3;37,288;0,553
0x6733;2644;871;0;2019-05-16 10:25:37.841;25.37,8;37,841;0,18
0x6733;2628;866;0;2019-05-16 10:25:38.021;25.38,0;38,021;0,186
0x6733;2611;850;0;2019-05-16 10:25:38.207;25.38,2;38,207;0,178
0x6733;2646;862;0;2019-05-16 10:25:38.385;25.38,4;38,385;0,185
0x6733;2648;661;0;2019-05-16 10:25:38.570;25.38,6;38,57;0,177
0x6733;2642;786;0;2019-05-16 10:25:38.747;25.38,7;38,747;0,184
0x6733;2704;808;0;2019-05-16 10:25:38.931;25.38,9;38,931;0,191
0x6733;2734;801;0;2019-05-16 10:25:39.122;25.39,1;39,122;0,36
0x6733;2752;853;0;2019-05-16 10:25:39.482;25.39,5;39,482;0,194
0x6733;2786;903;0;2019-05-16 10:25:39.676;25.39,7;39,676;0,176
0x6733;2745;856;0;2019-05-16 10:25:39.852;25.39,9;39,852;0,364
0x6733;2774;860;0;2019-05-16 10:25:40.216;25.40,2;40,216;0,368
0x6733;2769;846;0;2019-05-16 10:25:40.584;25.40,6;40,584;0,188
0x6733;2782;863;0;2019-05-16 10:25:40.772;25.40,8;40,772;0,182
0x6733;2768;867;0;2019-05-16 10:25:40.954;25.41,0;40,954;0,187
0x6733;2700;865;0;2019-05-16 10:25:41.141;25.41,1;41,141;0,175
0x6733;2661;870;0;2019-05-16 10:25:41.316;25.41,3;41,316;0,189
0x6733;2732;853;0;2019-05-16 10:25:41.505;25.41,5;41,505;0,182
0x6733;2762;840;0;2019-05-16 10:25:41.687;25.41,7;41,687;0,179
0x6733;2713;858;0;2019-05-16 10:25:41.866;25.41,9;41,866;0,185
0x6733;2697;858;0;2019-05-16 10:25:42.051;25.42,1;42,051;0,181
0x6733;2710;842;0;2019-05-16 10:25:42.232;25.42,2;42,232;0,189
0x6733;2790;840;0;2019-05-16 10:25:42.421;25.42,4;42,421;0,174
0x6733;2730;878;0;2019-05-16 10:25:42.595;25.42,6;42,595;0,183
0x6733;2788;846;0;2019-05-16 10:25:42.778;25.42,8;42,778;0,181
0x6733;2794;876;0;2019-05-16 10:25:42.959;25.43,0;42,959;0,187
0x6733;2767;876;0;2019-05-16 10:25:43.146;25.43,1;43,146;0,18
0x6733;2811;852;0;2019-05-16 10:25:43.326;25.43,3;43,326;0,187
0x6733;2786;831;0;2019-05-16 10:25:43.513;25.43,5;43,513;0,182
0x6733;2774;825;0;2019-05-16 10:25:43.695;25.43,7;43,695;0,187
0x6733;2806;848;0;2019-05-16 10:25:43.882;25.43,9;43,882;0,184
0x6733;2803;847;0;2019-05-16 10:25:44.066;25.44,1;44,066;0,377
0x6733;2657;902;0;2019-05-16 10:25:44.443;25.44,4;44,443;0,173
0x6733;2754;896;0;2019-05-16 10:25:44.616;25.44,6;44,616;0,186
0x6733;2782;864;0;2019-05-16 10:25:44.802;25.44,8;44,802;0,181
0x6733;2696;887;0;2019-05-16 10:25:44.983;25.45,0;44,983;0,37
0x6733;2707;927;0;2019-05-16 10:25:45.353;25.45,4;45,353;0,185
0x6733;2727;817;0;2019-05-16 10:25:45.538;25.45,5;45,538;0,177
0x6733;2713;854;0;2019-05-16 10:25:45.715;25.45,7;45,715;0,183
0x6733;2653;817;0;2019-05-16 10:25:45.898;25.45,9;45,898;0,182
0x6733;2750;784;0;2019-05-16 10:25:46.080;25.46,1;46,08;0,366
0x6733;2756;776;0;2019-05-16 10:25:46.446;25.46,4;46,446;0,191
0x6733;2731;831;0;2019-05-16 10:25:46.637;25.46,6;46,637;0,359
0x6733;2651;845;0;2019-05-16 10:25:46.996;25.47,0;46,996;0,176
0x6733;2712;886;0;2019-05-16 10:25:47.172;25.47,2;47,172;0,191
0x6733;2773;785;0;2019-05-16 10:25:47.363;25.47,4;47,363;0,177
